地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 匈牙利'],['米洛拉德·科斯蒂奇'],['94'],"['08', '11']","['伊万·卡马拉斯', '加布里瑞拉·哈默里', '佐兰·马克兰兹', '乔鲍·马顿', '保罗‧贝兰托尼', '马特·戴维尔', '卡塔琳‧东比', '亨利‧格兰特', '彼得·林卡', '马泰‧梅萨罗什', '加博尔·纳吉帕尔', '维吉尼亚‧普罗德']","['盗梦特攻队 Ruben Brandt, a gyüjtö']","['动画', '犯罪']",['8.4'],['17459'],[' 英语 / 匈牙利语']
[' 波兰 / 西班牙 / 德国 / 比利时 / 匈牙利'],"['Raúl de la Fuente', '达米安·纽诺']",['80'],"['05', '11']","['小田部阿基', 'Wilson Benedito', 'Ryszard Kapuscinski']",['人生的另一天 Un día más con vida'],"['动画', '传记']",['7.9'],['195'],[' 英语 / 葡萄牙语 / 波兰语 / 西班牙语']
[' 匈牙利'],['Tamas Yvan Topolanszky'],['99'],[],"['丽丽·博尔丹', '卡罗琳·博尔顿', 'Nikolett Barabas', 'Björn Freiberg', 'Declan Hannigan', '扬·费尔德曼', '斯科特·亚历山大·杨', 'Kata Sarbó', 'Rafael Feldman', '罗德里克·希尔', '埃斯特·纳吉-卡洛齐', '杰瑞米·惠勒', 'József Gyabronka', 'Ferenc Lengyel', 'Christopher Krieg', 'Daniel Gabori', 'Sándor Köleséry']",['柯蒂斯 Curtiz'],"['剧情', '传记', '历史']",['7.8'],['104'],[' 英语 / 匈牙利语']
[' 匈牙利'],['索菲娅·泽拉吉'],['99'],"['05', '11']","['索菲娅·绍莫希', '雷欧·弗戴迪', '安布鲁斯·巴赫扎', '佐卡·瓦赫伽-布拉史寇', '卡洛伊·哈伊久克']",['一天 Egy nap'],['剧情'],['7.4'],['434'],[' 匈牙利语']
[' 匈牙利'],['阿尔帕德·博格达纳'],['120'],['04'],"['Milán Csordás', 'Anna Mária Cseh', 'Eniko Anna Illesi']",['创世纪 Genezis'],['剧情'],['6.7'],['67'],[' 匈牙利语']
[' 匈牙利'],['拉斯洛·丘尧'],['83'],"['07', '08']","['Berényi Bianka', 'Réti László', 'Károly Kozma', 'Kardos György', 'Róbert Kardos', 'Kristó Nagy Andrea', 'Veres Tibor András', 'Turai Veronika Dorottya', 'Kiss-Végh Emõke', 'Hankó Ernõ', 'Gabor Ferenczy', 'Ferenc Gerlóczy', 'Balázs Györi', 'Tomi Kosynus', ""Nagy 'Bencsik Viktory' Lajos"", '索菲娅·绍莫希', 'Zsolt Vereckei']",['花开山谷 Virágvölgy'],['剧情'],['6.5'],['83'],[' 匈牙利语']
[' 匈牙利 / 法国'],['拉斯洛·奈迈施'],['142'],"['09', '09']","['弗拉德·伊凡诺夫', '苏珊娜·伍艾斯特', '伊夫林·多布斯', '比约恩·弗赖贝格', '尤莉·贾卡比', '朱迪特·巴多斯', '列文特·莫尔纳', '乌尔斯·瑞恩', '莫妮卡·巴尔赛', '马尔桑·恰尼克', '桑德尔·泽绍特']",['日暮 Napszállta'],['剧情'],['6.2'],['533'],[' 匈牙利语 / 德语']
[' 匈牙利'],['Petra Szöcs'],['76'],['08'],"['Csengelle Nagy', 'Fatma Mohamed', 'Boglárka Komán']",['德瓦 Deva'],['剧情'],[''],[],[' 匈牙利语 / 罗马尼亚语']
[' 匈牙利'],['András Jeles'],['90'],[],"['Dalma Berger', 'Tenki Dalma', 'Henrietta Edvi', 'Györgyi Kari', 'Kardos Kyra', 'Virág Marjai', 'Gyula Mesterházy']",['A rossz árnyék'],['剧情'],[''],[],[' 匈牙利语']
[' 匈牙利'],"['Péter Lichter', 'Bori Máté']",[],[],[],['The Rub'],[],[''],[],[]
[' 匈牙利'],[],[],[],[],['Átalakítás folyamatban'],[],[''],[],[]
[' 匈牙利'],[],[],[],[],['Parallel'],[],[''],[],[]
[' 匈牙利'],['Attila Szász'],['110'],['01'],"['Marina Gera', 'Sándor Csányi', 'Laura Döbrösi']",['永冬 Örök tél'],"['剧情', '爱情', '历史']",[''],[],[' 匈牙利语 Hungarian / 俄语 Russian']
[' 匈牙利'],['Mihály Schwechtje'],[],['09'],[],"['下次,我希望你可以 Remélem legközelebb sikerül meghalnod:)']","['剧情', '喜剧', '惊悚']",[''],[],[' 匈牙利语']
[' 匈牙利'],['帕尔·山多尔'],['103'],['05'],"['Gerõ Botond', 'Jazmin Gonzales', 'Sándor Gáspár', 'Géza Hegedüs D.', 'Attila Ifj. Vidnyánszky', 'Krisztián Kovács', '多丽娜·马提诺维奇', 'Tamás Mohai', '埃斯特·纳吉-卡洛齐', '彼得·鲁道夫', 'Péter Végh']",['剧团的逃兵 Vándorszínészek'],['剧情'],[''],[],[' 匈牙利语']
[' 匈牙利 / 法国 / 瑞典 / 美国'],['乔治·巴勒菲'],['108'],['09'],"['凯特·维隆', '马歇尔·威廉斯', 'Eric Peterson', 'Jenna Warren', '本兹·安托万', 'Andrew Moodie']",['造主之声 His Master&#39;s Voice'],"['剧情', '科幻']",[''],[],[' 匈牙利语']
[' 匈牙利'],['Balázs Lengyel'],['90'],[],"['Tamás Keresztes', 'József Gyabronka', '蒂波尔·帕尔菲']",['我的太空不是梦 Lajko: Cigány az ürben'],['剧情'],[''],[],[' 匈牙利语 / 俄语']
[' 匈牙利'],['Károly Ujj Mészáros'],['114'],"['10', '11']",['莫妮卡·巴尔赛'],['自杀X档案 X.'],"['惊悚', '犯罪']",[''],[],[' 匈牙利语']
[' 匈牙利'],['嘉博·雷兹'],['97'],['10'],"['嘉博·雷兹', 'Katica Nagy', 'Zsolt Kovács']",['烂情诗 Rossz versek'],"['剧情', '喜剧']",[''],[],[' 匈牙利语']
[' 匈牙利'],[],[],[],[],['Nyitva'],[],[''],[],[]
[' 匈牙利'],['Gábor Herendi'],['103'],['02'],"['杰泽·萨博', 'Ferenc Hujber', '乔包·平德罗奇']",['美国范儿3 Valami Amerika 3'],['喜剧'],[''],[],[' 匈牙利语']
[' 匈牙利'],['Krisztina Goda'],['100'],['12'],['Viktória Szávai'],['新年夜挑战 BÚÉK'],"['剧情', '喜剧']",[''],[],[' 匈牙利语']
[' 法国 / 乌克兰 / 立陶宛 / 匈牙利'],['克日什托夫·扎努西'],['118'],['09'],"['Jacek Poniedzialek', '若尔特·拉斯洛', '安杰列·查拉']",['魔鬼怪医 Eter'],"['剧情', '惊悚', '历史']",[''],[],[' 波兰语 / 乌克兰语 / 俄语']
[' 匈牙利'],[],[],[],[],['Gone'],[],[''],[],[]
